account,amount,time,refund,prize,period
15271805,10,6/10/14 10:48,0,0,2
23380244,5,6/10/14 11:27,0,0,1
25857184,20,6/10/14 11:29,0,0,2
5782840,40,6/10/14 11:33,0,0,2
7243729,15,6/10/14 11:40,0,0,2
11524913,35,6/10/14 11:47,0,0,2
11524913,35,6/10/14 11:54,0,0,2
21609978,20,6/10/14 11:58,0,0,6
11524913,25,6/10/14 12:12,0,0,2
13311660,15,6/10/14 12:45,0,0,2
16066193,20,6/10/14 12:52,0,0,2
18149263,20,6/10/14 13:03,0,0,1
20449967,20,6/10/14 13:20,0,0,2
22293637,60,6/10/14 13:55,0,0,2
12203570,250,6/10/14 13:56,0,0,1
12203570,-250,6/10/14 13:56,1,0,1
26541545,40,6/10/14 14:05,0,0,20
10381676,30,6/10/14 14:26,0,0,2
16740270,30,6/10/14 14:37,0,0,2
28020930,15,6/10/14 14:51,0,0,1
14679546,15,6/10/14 14:53,0,0,1
18691569,15,6/10/14 14:53,0,0,1
16593230,20,6/10/14 14:54,0,0,2
14434493,10,6/10/14 14:54,0,0,1
11126286,10,6/10/14 14:55,0,0,1
23311066,15,6/10/14 14:56,0,0,1
14702401,10,6/10/14 14:56,0,0,1
19764965,10,6/10/14 14:57,0,0,1
23346744,20,6/10/14 14:59,0,0,1
21291298,10,6/10/14 14:59,0,0,1
22457877,15,6/10/14 15:45,0,0,1
18272448,100,6/10/14 15:45,0,0,2
24549884,70,6/10/14 15:53,0,0,1
24433466,25,6/10/14 16:07,0,0,8
12385366,40,6/10/14 17:31,0,0,8
26047589,20,6/10/14 17:37,0,0,1
22514262,5,6/10/14 18:08,0,0,20
13582838,40,6/10/14 18:09,0,0,2
27852614,20,6/10/14 18:40,0,0,20
11504748,40,6/10/14 18:53,0,0,2
571959,10,6/10/14 20:05,0,0,6
571959,20,6/10/14 20:06,0,0,6
29395910,100,6/10/14 20:09,0,0,20
16740270,40,6/10/14 20:17,0,0,2
3200248,40,6/10/14 20:22,0,0,2
6299472,50,6/10/14 20:23,0,0,2
13311660,6,6/10/14 20:50,0,0,2
26575477,20,6/10/14 20:50,0,0,6
21126563,30,6/10/14 20:55,0,0,1
25576269,35,6/10/14 21:01,0,0,20
23729090,20,6/10/14 21:08,0,0,6
25714905,20,6/10/14 21:28,0,0,6
27998075,10,6/10/14 22:27,0,0,2
24539095,35,6/11/14 0:04,0,0,2
5782840,100,6/11/14 6:13,0,0,2
16758097,10,6/11/14 6:30,0,0,20
25727744,20,6/11/14 6:53,0,0,1
14434493,10,6/11/14 7:30,0,0,1
14434493,10,6/11/14 7:32,0,0,1
27747770,60,6/11/14 7:48,0,0,6
14434493,10,6/11/14 7:59,0,0,1
6299472,5,6/11/14 8:01,0,1,2
10089197,0.25,6/11/14 8:01,0,1,1
10381676,1.5,6/11/14 8:01,0,1,2
10828524,1,6/11/14 8:01,0,1,2
11504748,2,6/11/14 8:01,0,1,2
11555748,1,6/11/14 8:01,0,1,20
12203570,1,6/11/14 8:01,0,1,1
14481345,1,6/11/14 8:01,0,1,2
14702401,0.5,6/11/14 8:01,0,1,1
15271805,3,6/11/14 8:01,0,1,2
16280538,2,6/11/14 8:01,0,1,8
16740270,7,6/11/14 8:01,0,1,2
18149263,1.25,6/11/14 8:01,0,1,1
19764965,0.5,6/11/14 8:01,0,1,1
21291298,0.5,6/11/14 8:01,0,1,1
22457877,1.5,6/11/14 8:01,0,1,1
23311066,0.75,6/11/14 8:01,0,1,1
23346744,1,6/11/14 8:01,0,1,1
23380244,1.5,6/11/14 8:01,0,1,1
23729090,20,6/11/14 8:01,0,1,6
23861189,1,6/11/14 8:01,0,1,1
24433466,1.25,6/11/14 8:01,0,1,8
24539095,1.75,6/11/14 8:01,0,1,2
24549884,7,6/11/14 8:01,0,1,1
24923422,2,6/11/14 8:01,0,1,1
25420033,0.5,6/11/14 8:01,0,1,6
25500661,2,6/11/14 8:01,0,1,1
25714905,1,6/11/14 8:01,0,1,6
26047589,4,6/11/14 8:01,0,1,1
26575477,20,6/11/14 8:01,0,1,6
27747770,3,6/11/14 8:01,0,1,6
27852614,1,6/11/14 8:01,0,1,20
27998075,0.5,6/11/14 8:01,0,1,2
29395910,5,6/11/14 8:01,0,1,20
26702122,30,6/11/14 8:09,0,0,9
7243729,15,6/11/14 8:10,0,0,3
25857184,30,6/11/14 8:10,0,0,3
11126286,40,6/11/14 8:12,0,0,2
29395910,40,6/11/14 8:12,0,0,21
23627199,20,6/11/14 8:13,0,0,3
24195945,20,6/11/14 8:18,0,0,2
24433466,30,6/11/14 8:22,0,0,9
25420033,10,6/11/14 8:28,0,0,7
19128736,20,6/11/14 8:40,0,0,2
24846916,15,6/11/14 8:40,0,0,7
27252833,45,6/11/14 8:51,0,0,7
21126563,20,6/11/14 8:59,0,0,2
16740270,80,6/11/14 9:00,0,0,3
24960595,20,6/11/14 9:14,0,0,2
26047589,50,6/11/14 9:15,0,0,2
5782840,11,6/11/14 9:23,0,0,3
24186114,25,6/11/14 9:23,0,0,7
26575477,10,6/11/14 9:34,0,0,7
25116854,20,6/11/14 9:45,0,0,3
14679546,35,6/11/14 9:50,0,0,2
11555748,15,6/11/14 10:29,0,0,21
25576269,40,6/11/14 10:35,0,0,21
10381676,20,6/11/14 10:51,0,0,3
26541545,44,6/11/14 10:56,0,0,21
22789676,15,6/11/14 11:09,0,0,21
14702401,5,6/11/14 12:08,0,0,2
23311066,15,6/11/14 12:54,0,0,2
11504748,40,6/11/14 13:16,0,0,3
24549884,100,6/11/14 13:17,0,0,2
16066193,20,6/11/14 13:25,0,0,3
14481345,10,6/11/14 13:32,0,0,3
4101463,50,6/11/14 13:58,0,0,7
16593230,20,6/11/14 14:03,0,0,3
16740270,40,6/11/14 14:10,0,0,3
25827137,20,6/11/14 14:35,0,0,1
18493770,20,6/11/14 14:37,0,0,1
28325091,20,6/11/14 14:38,0,0,1
22844402,20,6/11/14 14:39,0,0,1
6142669,20,6/11/14 14:40,0,0,1
